#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Pagaments fets
9200,480009,ASSOCIACIÓ DE VEÏNS CAN TABOLA,500,0,500,0,0
9200,480010,APORTACIÓ AMI,750,0,750,745.5,745.5
9200,610000,INVERSIONS 2018,150000,300150,450150,369536.38,350008.67
9200,610100,REURBANITZACIÓ TRAVESSERA URBANA BV 5156  2A FASE,557000,300000,857000,22942.51,22942.51
9200,610200,REFORMA PLAÇA JOAN MIRÓ,28500,-10500,18000,16602.4,0
9200,610300,INVERSIONS2018 PRESSUPOSTOS PARTICIPATIUS,0,101500,101500,100322.41,54338.3
9200,610500,MILLORA CAMINS HORTS,50400,0,50400,44754.38,0
9200,610600,MILLORA CAMINS TENES,60000,-9300,50700,2423.63,2423.63
9200,610700,INVERSIONS ESCOLA BRESSOL,10000,-10000,0,0,0
9200,610800,"PROGRAMA COMPLEMENTARI CULTURA, ESPORTS, BIBLIOTECA, ETC",200000,0,200000,29217.63,29217.63
9200,610900,PROGRAMA COMPLEMENTARI POLÍGONS INDUSTRIALS,977500,0,977500,0,0
9200,624000,INVERSIÓ VEHICLE MUNICIPAL (POLICIA LOCAL),3000,-3000,0,0,0
9210,130000,RETRIBUCIONS PERSONAL FIXE NETEJA EDIFICIS MUNICIPALS,18125,0,18125,18673.81,18673.81
9210,131000,RETRIBUCIONS PERSONAL TEMPORAL NETEJA EDIFICIS MUNICIPALS,190133.39,22400,212533.39,209824.61,209824.61
9240,226020,PUBLICITAT I PROPAGANDA,12000,1800,13800,18234.28,12523.77
9240,226990,DESPESES DE FUNCIONAMENT SERVEI DE COMUNICACIÓ,500,0,500,0,0
9240,227000,PRESTACIÓ DE SERVEIS DE DISSENY I COMUNICACIÓ,10000,-8600,1400,1374.37,1374.37
9240,467000,APORTACIÓ CONSORCI LOCALRET,1200,0,1200,1023.52,1023.52
9240,467001,APORTACIÓ CONSORCI TELEDIGITAL MOLLET,90000,-31000,59000,58566,48804.7
9290,555000,FONS DE CONTINGÈNCIA,300000,-300000,0,0,0
